在我看来，语言学不好的真正原因不是因为咱们的学习能力不如婴幼儿，而是因为以下几点：第一，没有按照科学、自然的方法去学习语言；第二，学习动机和学习兴趣远不如婴幼儿；第三，给自己强加过多的心理压力和负担。	zàiwǒkànlái，yǔyánxuébùhǎodezhēnzhèngyuányīnbùshìyīnwèizánmendexuéxínénglìbùrúyīngyòuér，érshìyīnwèiyǐxiàjīdiǎn：dìyī，méiyǒuànzhàokēxué、zìrándefāngfǎqùxuéxíyǔyán；dìèr，xuéxídòngjīhéxuéxíxīngqùyuǎnbùrúyīngyòuér；dìsān，gěizìjǐqiángjiāguòduōdexīnlǐyālìhéfùdàn。	In my opinion, bad linguistics real reason is not because our ability to learn as good as infants, but because of the following: first, did not follow the science, natural way to learn a language; second, motivation and learning far less interest in infants and young children; third, to self-imposed excessive psychological stress and burden.
下面就让我们一起来回忆一下自己小时候或者观察一下家中的婴幼儿是怎么学习母语的？	xiàmiànjìuràngwǒmenyīqǐláihúiyìyīxiàzìjǐxiǎoshíhòuhuòzhěguāncháyīxiàjiāzhōngdeyīngyòuérshìzěnyāoxuéxímǔyǔde？	Let us work together to recall their own childhood or look at home is how infants learn their mother tongue in?
婴儿出生后的第一声啼哭是最早的发音，5－6个月会发一些单音节词，比如ma, ba，7－8 个月会发复音节词，比如妈妈、爸爸。	yīngérchūshēnghòudedìyīshēngtíkūshìzùizǎodefāyīn，5－6gèyuèhùifāyīxiēdānyīnjiécí，bǐrúma, ba，7－8 gèyuèhùifāfùyīnjiécí，bǐrúmāmā、bàbà。	The First crying after the baby is born is the first pronunciation, 5-6 months will be issued a number of monosyllabic words, such as ma , ba, 7-8 months will be issued re-syllable words such as mama, Dad.
1 岁以后，他们能说一些日常生活用语，如吃、睡、走等。	1 sùiyǐhòu，tāmennéngshuōyīxiērìchángshēnghuóyòngyǔ，rúchī、shùi、zǒuděng。	1 year old, they can say something on every day life, such as eating, sleep go and so on.
1 岁半开始可以用单字句表达需求，如吃饭妈抱等。	1 sùibànkāishǐkěyǐyòngdānzìjùbiǎodáxūqíu，rúchīfànmābàoděng。	1 year and a half beginning with single words can express their needs, such as eating Mom hold and so on.
这个时候儿童的特点是喜欢观察、模仿听到的声音，有强烈的表达欲望，却无法用完整的句子准确表达，理解大人说话的能力强于自我表达的能力。	zhègèshíhòuértóngdetèdiǎnshìxǐhuānguānchá、mófǎngtīngdàodeshēngyīn，yǒuqiánglièdebiǎodáyùwàng，quèwúfǎyòngwánzhěngdejùzǐzhǔnquèbiǎodá，lǐjiědàrénshuōhuàdenénglìqiángyúzìwǒbiǎodádenénglì。	This time the characteristics of children are fond of observing, imitating the sound heard, there is a strong expression of desire, but can not accurately express complete sentences, comprehension ability of adults to speak stronger than self-expression.
2－3 岁是婴幼儿语言发展的高速期，能说简单的句子，会用感叹句表达情感，如花儿真是太美啦！，会用疑问句提问，如妈妈什么时候下班？。	2－3 sùishìyīngyòuéryǔyánfāzhǎndegāosùqī，néngshuōjiǎndāndejùzǐ，hùiyònggǎntànjùbiǎodáqínggǎn，rúhuāérzhēnshìtàiměila！，hùiyòngyíwènjùtíwèn，rúmāmāshíyāoshíhòuxiàbān？。	2-3 years old is the language development of infants and young children in high speed, can say simple sentences, express emotion with exclamations such as flowers was so beautiful it! Will use interrogative questions, such as what time to go, Mom?.
3－6 岁的儿童能掌握最基本的词汇，说话流利，并能从成人的言语中发现语法关系，修正自己错误的暂时性的语法，逐渐形成真正的语言。	3－6 sùideértóngnéngzhǎngwòzùijīběndecíhùi，shuōhuàlíulì，bìngnéngcóngchéngréndeyányǔzhōngfāxiànyǔfǎguānxì，xīuzhèngzìjǐcuòwùdezànshíxìngdeyǔfǎ，zhújiànxíngchéngzhēnzhèngdeyǔyán。	Children 3-6 years old can master the basic vocabulary, speak fluently, and from adult language found in grammar relations, correct his own mistakes temporary grammar, and gradually form a real language.
6－7 岁的儿童进入学校开始进行系统的语言学习，如拼音、汉字，发音的纠正，语法等。	6－7 sùideértóngjìnrùxuéxiàokāishǐjìnxíngxìtǒngdeyǔyánxuéxí，rúpīnyīn、hànzì，fāyīndejīuzhèng，yǔfǎděng。	6-7 year-old children into the school system started learning the language, such as the alphabet, Chinese characters, the correct pronunciation and grammar.
从婴幼儿学习母语的规律咱们不难看出语言学习最科学、最自然的方法是先从听、说开始，再书写、完善语法，完善发音，通过阅读不断增加词汇。	cóngyīngyòuérxuéxímǔyǔdegūilv̀zánmenbùnánkànchūyǔyánxuéxízùikēxué、zùizìrándefāngfǎshìxiāncóngtīng、shuōkāishǐ，zàishūxiě、wánshànyǔfǎ，wánshànfāyīn，tōngguòyuèdúbùduànzēngjiācíhùi。	Language learning the most scientific, most natural way to learn their mother tongue is the law of the infant is easy to see that we start listening, speaking Start, writing, grammar perfect, perfect pronunciation, reading through increasing vocabulary.
所以，如果你觉得中文真是太难学啦！，那很正常。	suǒyǐ，rúguǒnǐjuédézhōngwénzhēnshìtàinánxuéla！，nàhěnzhèngcháng。	So, if you think the Chinese really difficult to learn it! That is normal.
婴幼儿也不是生下来就可以组词造句、分清平、翘舌音、读准四声、理解大人说的每一句话等。	yīngyòuéryěbùshìshēngxiàláijìukěyǐzǔcízàojù、fēnqīngpíng、qiáoshéyīn、dúzhǔnsìshēng、lǐjiědàrénshuōdeměiyījùhuàděng。	Infants are not born to be word and sentence, to distinguish between flat Alice retroflex, read standard tones, adults understand every word and so on.
他们不间断地听、说了至少 6－7 年的时间才能初步达到流利、正确表达自己的观点，又通过在学校系统的学习直到大学毕业乃至一生当中都是一个不断学习、完善的过程。	tāmenbùjiānduàndìtīng、shuōlezhìshǎo 6－7 niándeshíjiāncáinéngchūbùdádàolíulì、zhèngquèbiǎodázìjǐdeguāndiǎn，yòutōngguòzàixuéxiàoxìtǒngdexuéxízhídàodàxuébìyènǎizhìyīshēngdāngzhōngdūshìyīgèbùduànxuéxí、wánshàndeguòchéng。	They uninterrupted listening, speaking for at least 6-7 years to reach a preliminary fluently, right to express their views, but also through the school system until learning among university graduates and even life is a continuous learning and improvement process.
所以，不要因为自己四声发不到位、汉字写不好或是在阅读这篇文本时遇到很多的生字、词而沮丧。	suǒyǐ，bùyàoyīnwèizìjǐsìshēngfābùdàowèi、hànzìxiěbùhǎohuòshìzàiyuèdúzhèpiānwénběnshíyùdàohěnduōdeshēngzì、cíérjūsāng。	So, not because of his hair tones are not in place, poor or write Chinese characters encounter a lot of new words when reading this text, the word frustrated.
你需要的只是再多一点点耐心，想想看你已经比婴儿从出生到发出第一个单字要快好几倍的时间了。	nǐxūyàodezhǐshìzàiduōyīdiǎndiǎnnàixīn，xiǎngxiǎngkànnǐyǐjīngbǐyīngércóngchūshēngdàofāchūdìyīgèdānzìyàokuàihǎojībèideshíjiānle。	All you need is a little bit more patience than you have to think of babies from birth to issue the first word several times faster time.
同时，我们也要学习婴幼儿学习母语的精神：他们对世界满满的好奇心，想要与他人用语言交流的强烈的本能，哪怕是当发不清字词或是说不了完整句子的时候也不止步于前4，不怕出错、出丑。	tóngshí，wǒmenyěyàoxuéxíyīngyòuérxuéxímǔyǔdejīngshén：tāmendùishìjièmǎnmǎndehǎoqíxīn，xiǎngyàoyǔtārényòngyǔyánjiāolíudeqiánglièdeběnnéng，nǎpàshìdāngfābùqīngzìcíhuòshìshuōbùlewánzhěngjùzǐdeshíhòuyěbùzhǐbùyúqián4，bùpàchūcuò、chūchǒu。	When they are full of curiosity about the world, you want a strong instinct to use language to communicate with others, even if it is made clear when the word or say a complete sentence: At the same time, we have to learn the spirit of the infants learn their mother tongue do not stop at the first four, not afraid of a mistake, a fool.
如果咱们在学习一门外语时能找回这些我们曾经学习母语时的不屈不挠5的精神，用同样的科学、自然的方法，咱们就一定能说好中文。	rúguǒzánmenzàixuéxíyīménwàiyǔshínéngzhǎohúizhèxiēwǒmencéngjīngxuéxímǔyǔshídebùqūbùnáo5dejīngshén，yòngtóngyángdekēxué、zìrándefāngfǎ，zánmenjìuyīdìngnéngshuōhǎozhōngwén。	If we can get back unyielding when we have them learn their mother tongue when learning a foreign language in the spirit of 5, the same science, natural methods, we will certainly be able to speak good Chinese.
接下来，我们来简要地说说怎样最高效地通过这个播客去学习中文吧！	jiēxiàlái，wǒmenláijiǎnyàodìshuōshuōzěnyángzùigāoxiàodìtōngguòzhègèbōkèqùxuéxízhōngwénba！	Next, let's briefly talk about how most efficiently through this podcast to learn Chinese now!
每周我会在 Itune, Spotify,Sticher,Twitter,Facebook 等平台的页面发布一期新的节目。	měizhōuwǒhùizài Itune, Spotify,Sticher,Twitter,Facebook děngpíngtáideyèmiànfābùyīqīxīndejiémù。	Every week I will post a new program in the page Itune, Spotify, Sticher, Twitter, Facebook and other platforms.
节目内容、主题多元化，比如学习技巧、方法的分享，通过故事学习新的成语、俗语，中国的文化、习俗等。	jiémùnèiróng、zhǔtíduōyuánhuà，bǐrúxuéxíjìqiǎo、fāngfǎdefēnxiǎng，tōngguògùshìxuéxíxīndechéngyǔ、súyǔ，zhōngguódewénhuà、xísúděng。	Program content, different topics, such as sharing learning skills, methods, learn new idioms, slang, China's culture and customs through the story.
所有节目以中文为主，尽量不参杂其他语言。	suǒyǒujiémùyǐzhōngwénwèizhǔ，jǐnliàngbùcānzáqítāyǔyán。	All programs written in Chinese, try not doping in other languages.
以此为大家营造一个真实的纯中文的语言环境。	yǐcǐwèidàjiāyíngzàoyīgèzhēnshídechúnzhōngwéndeyǔyánhuánjìng。	In order to create a real pure Chinese language environment for everyone.
每期节目，我会制作相关的文本。	měiqījiémù，wǒhùizhìzuòxiāngguāndewénběn。	Each program, I will make the relevant text.
这份文本里将一字不差地录入本期节目内容的所有汉字及其拼音和对一些重难点词汇的注解，以帮助大家学习。	zhèfènwénběnlǐjiāngyīzìbùchàdìlùrùběnqījiémùnèiróngdesuǒyǒuhànzìjíqípīnyīnhédùiyīxiēzhòngnándiǎncíhùidezhùjiě，yǐbāngzhùdàjiāxuéxí。	The text entered in the verbatim content of this program and all the characters and their phonetic annotation of some of the heavy and difficult vocabulary to help them to learn.
我建议大家按照以下步骤去完成每一周对每一期节目的学习。	wǒjiànyìdàjiāànzhàoyǐxiàbùzòuqùwánchéngměiyīzhōudùiměiyīqījiémùdexuéxí。	I suggest that you go to learn each week of the completion of each phase of the program in accordance with the following procedure.
1. 先听两遍节目（不看文本），最大程度地通过听去理解节目的内容。	1. xiāntīngliǎngbiànjiémù（bùkànwénběn），zùidàchéngdùdìtōngguòtīngqùlǐjiějiémùdenèiróng。	1. listen twice programs (do not look at the text), by listening to the greatest extent possible to understand the content of the program.
2. 阅读文本，借助字典、词典搜索不理解的单字或词语，以理解节目的全部内容。	2. yuèdúwénběn，jièzhùzìdiǎn、cídiǎnsōusuǒbùlǐjiědedānzìhuòcíyǔ，yǐlǐjiějiémùdequánbùnèiróng。	2. Read the text, with the word or words in the dictionary, dictionary search does not understand, in order to understand the full content of the program.
3. 听第三遍节目，边听边看文本（及拼音），在心里跟着默读并再次检验是否理解 了节目的全部内容。	3. tīngdìsānbiànjiémù，biāntīngbiānkànwénběn（jípīnyīn），zàixīnlǐgēnzháomòdúbìngzàicìjiǎnyànshìfǒulǐjiě lejiémùdequánbùnèiróng。	3. The third time to listen to the program, listen and watch the text (and spelling), followed silently in their hearts and examine again whether to understand the full content of the program.
4. 大声朗读文本，尽量模仿发音。	4. dàshēnglǎngdúwénběn，jǐnliàngmófǎngfāyīn。	4. The text read aloud, try to imitate the pronunciation.
不熟悉的字、词连着所属的句子一起多读几遍。	bùshúxīdezì、cíliánzháosuǒshǔdejùzǐyīqǐduōdújībiàn。	Read several times with unfamiliar word sentences, words attached belongs.
5. 在一周时间中，每隔两天重复收听一遍本周的节目。	5. zàiyīzhōushíjiānzhōng，měigéliǎngtiānzhòngfùshōutīngyībiànběnzhōudejiémù。	5. In a week, a repeat every two days this week to listen again programs.
让我们从这期节目开始，按照以上的方法去进行学习。	ràngwǒmencóngzhèqījiémùkāishǐ，ànzhàoyǐshàngdefāngfǎqùjìnxíngxuéxí。	Let us begin this phase of the program, in accordance with the above approach to learning.
相信你一定很快会感觉到自己的进步。	xiāngxìnnǐyīdìnghěnkuàihùigǎnjuédàozìjǐdejìnbù。	I am sure you will soon feel the progress.
好了，到这里本期的节目也即将结束了。	hǎole，dàozhèlǐběnqīdejiémùyějíjiāngjiéshùle。	Well, here's the current program is about to end.
欢迎访问我们的 Facebook主页查看节目文本，如果你有任何的疑问、建议请发邮件与我联系。	huānyíngfǎngwènwǒmende Facebookzhǔyèchákànjiémùwénběn，rúguǒnǐyǒurènhédeyíwèn、jiànyìqǐngfāyóujiànyǔwǒliánxì。	Visit our Facebook page to see the program text, if you have any questions, suggestions please email contact me.
邮箱地址是：speakchinesenaturally@gmail.com。	yóuxiāngdìzhǐshì：speakchinesenaturally@gmail.com。	E-mail address: speakchinesenaturally@gmail.com.
另外，由于本周是《自然而然说中文》开播的第一周，为了让大家快速了解我们的节目内容，本周我们将会发布三期节目。	lìngwài，yóuyúběnzhōushì《zìránérránshuōzhōngwén》kāibōdedìyīzhōu，wèileràngdàjiākuàisùlejiěwǒmendejiémùnèiróng，běnzhōuwǒmenjiānghùifābùsānqījiémù。	In addition, because this week is the first week, said the Chinese naturally launch, in order to allow everyone to quickly understand our program content, this week we will publish three programs.
具体请关注我们的各大社交平台。	jùtǐqǐngguānzhùwǒmendegèdàshèjiāopíngtái。	For details, please pay attention to our major social platform.
同时也欢迎你参加本期节目的话题讨论。	tóngshíyěhuānyíngnǐcānjiāběnqījiémùdehuàtítǎolùn。	You are also welcome to participate in this program, the topic of discussion.
本期话题是关于南宋著名诗人朱熹的一句话：百学先立志6。	běnqīhuàtíshìguānyúnánsòngzhùmíngshīrénzhūxīdeyījùhuà：bǎixuéxiānlìzhì6。	This issue is the topic sentence about the Southern Song Dynasty poet Zhu Xi: a hundred school first determined 6.
来我们的社交平台一起聊一聊你为自己学习中文设下的目标是什么？	láiwǒmendeshèjiāopíngtáiyīqǐliáoyīliáonǐwèizìjǐxuéxízhōngwénshèxiàdemùbiāoshìshíyāo？	Our social platform to chat with what you set a goal for yourself to learn in Chinese?
很高兴认识你，希望今天的节目对你的中文学习有帮助！	hěngāoxīngrènshìnǐ，xīwàngjīntiāndejiémùdùinǐdezhōngwénxuéxíyǒubāngzhù！	Nice to meet you, hope that today's programs help you learn Chinese!
下期节目我们会一起聊一聊中文名的那些事儿。	xiàqījiémùwǒmenhùiyīqǐliáoyīliáozhōngwénmíngdenàxiēshìér。	Our next program we'll chat together those things Chinese name.
我们下期再见！	wǒmenxiàqīzàijiàn！	Our next goodbye!
欢迎收听《自然而然说中文》，第二期：关于中文名的那些事儿。	huānyíngshōutīng《zìránérránshuōzhōngwén》，dìèrqī：guānyúzhōngwénmíngdenàxiēshìér。	Welcome to naturally speak Chinese, the second phase: that thing about Chinese names.
我是佳佳，你好吗？	wǒshìjiājiā，nǐhǎoma？	I'm Allison, how are you?
在今天的节目里我们来聊一聊中文名。	zàijīntiāndejiémùlǐwǒmenláiliáoyīliáozhōngwénmíng。	In today's program, where we chat Chinese name.
首先，咱们一起来回忆一下，你听说的第一个中文名是什么？	shǒuxiān，zánmenyīqǐláihúiyìyīxià，nǐtīngshuōdedìyīgèzhōngwénmíngshìshíyāo？	First, let's take a recall, what is the first Chinese name you heard that?
李小龙？	lǐxiǎolóng？	Bruce Lee?
毛泽东？	máozédōng？	Mao Zedong?
或者是成龙？	huòzhěshìchénglóng？	Or Jackie Chan?
你对中文名字的第一印象又是怎样的？	nǐdùizhōngwénmíngzìdedìyīyìnxiàngyòushìzěnyángde？	Your first impression of Chinese names is like?
你有中文名吗？	nǐyǒuzhōngwénmíngma？	do you have a Chinese name?
如果有，是什么？	rúguǒyǒu，shìshíyāo？	If so, what is?
欢迎参加本期节目的话题讨论，在我们的 facebook 主页, wordpress 博客等社交平台留言。	huānyíngcānjiāběnqījiémùdehuàtítǎolùn，zàiwǒmende facebook zhǔyè, wordpress bókèděngshèjiāopíngtáilíuyán。	Welcome to this program topic of discussion, leave a message on our facebook page, wordpress blog and other social networking platforms.
－你叫什么名字？	－nǐjiàoshíyāomíngzì？	-What's your name?
－李白。	－lǐbái。	- Li Bai.
－李白什么？	－lǐbáishíyāo？	- Li Bai what?
－就是李白，没有了呀！	－jìushìlǐbái，méiyǒuleyā！	- Li Bai is not it!
是不是一个似曾相识的情景？	shìbùshìyīgèsìcéngxiāngshìdeqíngjǐng？	It is not a familiar scenario?
没错，中文名的其中一个特点就是简短。	méicuò，zhōngwénmíngdeqízhōngyīgètèdiǎnjìushìjiǎnduǎn。	Yes, one of which features Chinese name is short. 
中国人的名字连姓加名最短可以由两个汉字构成，我们称其为 AB 结构，比如咱们前面提到的李白。	zhōngguóréndemíngzìliánxìngjiāmíngzùiduǎnkěyǐyóuliǎnggèhànzìgōuchéng，wǒmenchēngqíwèi AB jiégōu，bǐrúzánmenqiánmiàntídàodelǐbái。	Chinese person's name plus the name of even the shortest name can be composed of two characters, we called AB structure, such as we mentioned before Li Bai. 
其他比较常见的两种中文名构成是：ABB 结构，姓加两个叠字（叠字就是两个一样的字，比如我的名字就属于这种类型）；或是 ABC 结构，姓加两个不同的单字，比如：李小龙。	qítābǐjiàochángjiàndeliǎngzhǒngzhōngwénmínggōuchéngshì：ABB jiégōu，xìngjiāliǎnggèdiézì（diézìjìushìliǎnggèyīyángdezì，bǐrúwǒdemíngzìjìushǔyúzhèzhǒnglèixíng）；huòshì ABC jiégōu，xìngjiāliǎnggèbùtóngdedānzì，bǐrú：lǐxiǎolóng。	Other more common is composed of two Chinese name: ABB structure, surname plus two overlapping word (word stack is the same two words, such as my name fall into this category); or ABC structure, surname plus two different words, such as: Bruce Lee.
当然如果中国父母想给孩子取一个比较特殊点儿的名字，按照中国的《姓名法》规定：汉族人最多连姓加名四个字，少数民族1例外，可以依照其民族习俗起名。	dāngránrúguǒzhōngguófùmǔxiǎnggěiháizǐqǔyīgèbǐjiàotèshūdiǎnérdemíngzì，ànzhàozhōngguóde《xìngmíngfǎ》gūidìng：hànzúrénzùiduōliánxìngjiāmíngsìgèzì，shǎoshùmínzú1lìwài，kěyǐyīzhàoqímínzúxísúqǐmíng。	Of course, if the Chinese parents want to give their children a little more special name, in accordance with China's Name Law states: Han people add up to even name names words, minority 1 exception, which can be named in accordance with national customs.
当代中国人的姓大多为单姓，即一个汉字。	dāngdàizhōngguóréndexìngdàduōwèidānxìng，jíyīgèhànzì。	Contemporary Chinese people surnamed mostly single surname, that a Chinese character.
最常见的姓有：李，朱，张，王，刘，马等。	zùichángjiàndexìngyǒu：lǐ，zhū，zhāng，wáng，líu，mǎděng。	The most common surnames are: Li, Zhu, Zhang, Wang, Liu and horses.
中国现存的复姓2有 81 个，如欧阳，皇甫，上官等。	zhōngguóxiàncúndefùxìng2yǒu 81 gè，rúōuyáng，huángfǔ，shàngguānděng。	China's existing hyphenated 2 has 81, such as Ouyang, Huang Fu, Shang and so on.
中国古代的复姓比较多，后来由于一些政策上的改变，很多复姓被要求减化成了单姓，比如欧阳减化成欧，司马减化成司或马。	zhōngguógǔdàidefùxìngbǐjiàoduō，hòuláiyóuyúyīxiēzhèngcèshàngdegǎibiàn，hěnduōfùxìngbèiyàoqíujiǎnhuàchéngledānxìng，bǐrúōuyángjiǎnhuàchéngōu，sīmǎjiǎnhuàchéngsīhuòmǎ。	Ancient Chinese hyphenated more, later due to changes in policies, many hyphenated be required to reduce and turned it into a single name, such as Ouyang cut into Europe, Sima cut into the Division or horse.
关于中国人的姓，有一篇成文于北宋时期非常著名的文章，叫作《百家姓》。	guānyúzhōngguóréndexìng，yǒuyīpiānchéngwényúběisòngshíqīfēichángzhùmíngdewénzhāng，jiàozuò《bǎijiāxìng》。	About Chinese people's name, there is a very famous article written in the Northern Song Dynasty, called Family Names.
原收集姓氏 411 个，后增补到 504 个，其中单姓 444 个，复姓 60 个。	yuánshōujíxìngshì 411 gè，hòuzēngbǔdào 504 gè，qízhōngdānxìng 444 gè，fùxìng 60 gè。	411 surnames original collection, after Added to 504, wherein the single name 444, 60 hyphenated.
它曾作为中国古代启蒙教育的固定教材，要求学生们能对其进行背诵。	tācéngzuòwèizhōngguógǔdàiqǐméngjiàoyùdegùdìngjiàocái，yàoqíuxuéshēngmennéngdùiqíjìnxíngbèisòng。	It served as a fixed teaching elementary education in ancient China, students were able to recite them.
现在中国大多数人是随父姓。	xiànzàizhōngguódàduōshùrénshìsúifùxìng。	Now most Chinese people is father's surname.
但根据《婚姻法》的规定，孩子也可以随母姓。	dàngēnjù《hūnyīnfǎ》degūidìng，háizǐyěkěyǐsúimǔxìng。	However, according to the provisions of the Marriage Law, the children or their mother's surname.
但如果同时用父母两人的姓作为复姓在法律上是不被认可的，比如我有个朋友，她父亲姓常，母亲姓陈，给她取名为常陈 BC，但她的姓在法律上仍然是常，而陈 BC这三个汉字都属于名字；再比如我原来有个同学，他叫欧阳 BC，由于欧阳是中国历史上遗留下来的复姓，同时也是他父亲家族的姓，因此在法律上是有效的。	dànrúguǒtóngshíyòngfùmǔliǎngréndexìngzuòwèifùxìngzàifǎlv̀shàngshìbùbèirènkěde，bǐrúwǒyǒugèpéngyǒu，tāfùqīnxìngcháng，mǔqīnxìngchén，gěitāqǔmíngwèichángchén BC，dàntādexìngzàifǎlv̀shàngréngránshìcháng，érchén BCzhèsāngèhànzìdūshǔyúmíngzì；zàibǐrúwǒyuánláiyǒugètóngxué，tājiàoōuyáng BC，yóuyúōuyángshìzhōngguólìshǐshàngyílíuxiàláidefùxìng，tóngshíyěshìtāfùqīnjiāzúdexìng，yīncǐzàifǎlv̀shàngshìyǒuxiàode。	But if at the same time with both parents as a hyphenated surname is not legally recognized, for example, I have a friend, her father surnamed Chang, mother surnamed Chen, called her often Chen BC, but her legal surname Chang is still on, while Chen BC these three characters are all names; another example, I had a classmate, he called Ouyang BC, due Ouyang is the legacy of Chinese history hyphenated name, but also his father's family name therefore legally valid.
其实呀，这个随父姓的习俗在中国并不是一开始就如此的。	qíshíyā，zhègèsúifùxìngdexísúzàizhōngguóbìngbùshìyīkāishǐjìurúcǐde。	In fact, ah, the father's surname customs in China did not start out so.
据考证，中国人的姓是在距今已有五千多年的母系氏族社会3时期就诞生了。	jùkǎozhèng，zhōngguóréndexìngshìzàijùjīnyǐyǒuwǔqiānduōniándemǔxìshìzúshèhùi3shíqījìudànshēngle。	According to research, the Chinese name is dating back more than five thousand years of matriarchal society 3 times was born.
大家知道中国的汉字是象形字4。	dàjiāzhīdàozhōngguódehànzìshìxiàngxíngzì4。	We all know that the Chinese characters are pictographic 4.
而姓是由汉字女和生组成，代表孩子是由女人生出的意思。	érxìngshìyóuhànzìnv̌héshēngzǔchéng，dàibiǎoháizǐshìyóunv̌rénshēngchūdeyìsī。	The name by the female characters and students , representing a woman give birth to a child is the meaning.
