characters,pinyin,english
她儿子睡觉了九十分钟。,Tā érzi shuìjiàole jiǔshí fēnzhōng.,Her son slept for ninety minutes.
老师叫她的学生听。,Lǎoshī jiào tā de xuéshēng tīng.,The teacher told her students to listen.
这些米饭不热了。,Zhèxiē mǐfàn bù rèle.,The rice is not hot anymore.
爸爸写了那本书。,Bàba xiěle nà běn shū.,Dad wrote that book.
谁的杯子在桌子上？,Shéi de bēizi zài zhuōzi shàng?,Whose cup is on the table?
妈妈上午吃了点东西。,Māmā shàngwǔ chīle diǎn dōngxī.,Mom ate something in the morning.
喂，你昨天怎么没有打电话？,"Wèi, nǐ zuótiān zěnme méiyǒu dǎ diànhuà?","Hello, why didn't you call yesterday?"
学生能写八十个字。,Xuéshēng néng xiě bāshí gè zì.,The student can write eighty words.
她坐在电脑前面工作。,Tā zuò zài diànnǎo qiánmiàn gōngzuò.,She sits at the computer and works.
我们开了一家商店。,Wǒmen kāile yījiā shāngdiàn.,We opened a shop.
没关系，我星期六不工作。,"Méiguānxì, wǒ xīngqíliù bù gōngzuò.","It's okay, I don't work on Saturday."
女儿今天看了60分钟的书。,Nǚ'ér jīntiān kànle 60 fēnzhōng de shū.,Daughter read for an hour today.
你怎么样？很高兴看见你。,Nǐ zěnme yàng? Hěn gāoxìng kànjiàn nǐ.,How are you doing? Nice to see you.
没关系，我不喜欢吃水果。,"Méiguānxì, wǒ bù xǐhuān chī shuǐguǒ.","It’s okay, I don't like fruit."
不客气先生。请多吃一点儿。,Bù kèqì xiānshēng. Qǐng duō chī yīdiǎn er.,You are welcome sir. Please eat more.
中午饭店里有很多人。,Zhōngwǔ fàndiàn li yǒu hěnduō rén.,There are many people in the restaurant at noon; There are many people in the hotel at noon.
五块钱十三苹果。,Wǔ kuài qián shísān píngguǒ.,Thirteen apples for five dollars.
谁在那个人的后面？,Shéi zài nàgè rén de hòumiàn?,Who is behind that person?
下个月1号是星期几？,Xià gè yuè 1 hào shì xīngqí jǐ?,What day is the 1st of next month?
我们的爸爸四十九岁。,Wǒmen de bàba sìshíjiǔ suì.,Our dad is forty-nine years old.
他在北京住了几年？,Tā zài běijīng zhùle jǐ nián?,How many years has he lived in Beijing?
你昨天吃了多少水果？,Nǐ zuótiān chīle duōshǎo shuǐguǒ?,How much fruit did you eat yesterday?
中午和下午天气都很热。,Zhōngwǔ hé xiàwǔ tiānqì dōu hěn rè.,It's hot at noon and in the afternoon.
你买了哪一个？,Nǐ mǎile nǎ yīgè?,Which one did you buy?
我有七块钱。你呢？,Wǒ yǒu qī kuài qián. Nǐ ne?,I have seven dollars. What about you?
在电视前面的大椅子,Zài diànshì qiánmiàn de dà yǐzi,The big chair in front of the TV
二月六号九点,Èr yuè liù hào jiǔ diǎn,February 6th at nine o'clock
上午商店里的人很少。,Shàngwǔ shāngdiàn lǐ de rén hěn shǎo.,There are few people in the shop in the morning.
他在北京住了九年。,Tā zài běijīng zhùle jiǔ nián.,He lived in Beijing for nine years.
你能读那些字吗？,Nǐ néng dú nàxiē zì ma?,Can you read those characters?
我妈妈叫我回家。再见！,Wǒ māmā jiào wǒ huí jiā. Zàijiàn!,My mother told me to go home. Goodbye!
他的名字写在哪儿？,Tā de míngzì xiě zài nǎ'er?,Where is his name written?
不客气。请多吃点米饭。,Bù kèqì. Qǐng duō chī diǎn mǐfàn.,You're welcome. Please eat more rice.
她的女儿很少看电视。,Tā de nǚ'ér hěn shǎo kàn diànshì.,Her daughter rarely watches TV.
医生说她能吃东西。,Yīshēng shuō tā néng chī dōngxī.,The doctor said she can eat.
我开了出租车二十分钟。,Wǒ kāile chūzū chē èrshí fēnzhōng.,I drove a taxi for twenty minutes.
没关系。我们六点回来。,Méiguānxì. Wǒmen liù diǎn huílái.,It's ok. We will be back at six.
桌子上的电脑太大了。,Zhuōzi shàng de diànnǎo tài dàle.,The computer on the table is too big.
没关系，我们上星期做了。,"Méiguānxì, wǒmen shàng xīngqí zuòle.","It's okay, we did it last week."
现在天气有点太冷了。,Xiànzài tiānqì yǒudiǎn tài lěngle.,The weather is a bit too cold now.
谢谢你打电话。你叫什么名字？,Xièxiè nǐ dǎ diànhuà. Nǐ jiào shénme míngzì?,Thank you for calling. What's your name?
他没有说，”很高兴认识你。”,"Tā méiyǒu shuō,” hěn gāoxìng rènshí nǐ.”","He didn't say, ""It's nice to meet you."""
他爱他的小狗。,Tā ài tā de xiǎo gǒu.,He loves his puppy.
这些菜都很大。,Zhèxiē cài dōu hěn dà.,All these dishes are big.
我上星期没有读书。对不起。,Wǒ shàng xīngqí méiyǒu dúshū. Duìbùqǐ.,I didn't study last week. Sorry.
谢谢你做这些菜。,Xièxiè nǐ zuò zhèxiē cài.,Thank you for making these dishes.
对不起，我们的饭店没有米饭。,"Duìbùqǐ, wǒmen de fàndiàn méiyǒu mǐfàn.","Sorry, we don't have rice in our restaurant."
他在电脑上看电影。,Tā zài diànnǎo shàng kàn diànyǐng.,He watches a movie on the computer.
Smith先生的儿子明天七岁了,Smith xiānshēng de érzi míngtiān qī suìle,Mr. Smith's son will be seven tomorrow.
Smith小姐坐在椅子上喝茶。,Smith xiǎojiě zuò zài yǐzi shàng hē chá.,Miss Smith sits in a chair and drinks tea.
她爱买漂亮的衣服。,Tā ài mǎi piàoliang de yīfú.,She loves buying beautiful clothes.
你怎么能在学校睡觉？,Nǐ zěnme néng zài xuéxiào shuìjiào?,How can you sleep in school?
猫想喝杯子里的水。,Māo xiǎng hē bēizi lǐ de shuǐ.,The cat wants to drink the water in the cup.
爸爸和妈妈在飞机上睡觉,Bàba hé māmā zài fēijī shàng shuìjiào,Dad and Mom sleep on the plane
你认识Smith小姐吗？她很漂亮。,Nǐ rènshí Smith xiǎojiě ma? Tā hěn piàoliang.,Do you know Miss Smith? She is very pretty.
我的老师和同学在学校。,Wǒ de lǎoshī hé tóngxué zài xuéxiào.,My teacher and classmates are at school.
谢谢你的五块钱。,Xièxiè nǐ de wǔ kuài qián.,Thank you for your five yuan; Thank you for the five dollars.
医院里的医生很少。,Yīyuàn lǐ de yīshēng hěn shǎo.,There are very few doctors in the hospital.
你爱我的朋友吗？,Nǐ ài wǒ de péngyǒu ma?,Do you love my friend?
明天下午三点怎么样呢？,Míngtiān xiàwǔ sān diǎn zěnme yàng ne?,How about tomorrow afternoon at three?
我不爱你的朋友。,Wǒ bù ài nǐ de péngyǒu.,I don't love your friends.
喂你好，Smith小姐在吗？,"Wèi nǐ hǎo,Smith xiǎojiě zài ma?","Hi, is Miss Smith there?"
他说他想学习汉语。,Tā shuō tā xiǎng xuéxí hànyǔ.,He says he wants to learn Chinese.
他在医院后面开出租车。,Tā zài yīyuàn hòumiàn kāi chūzū chē.,He drives a taxi behind the hospital.
你在哪家商店买衣服？,Nǐ zài nǎ jiā shāngdiàn mǎi yīfú?,Which store do you buy clothes from?
你什么时候上飞机的？,Nǐ shénme shíhòu shàng fēijī de?,When did you get on the plane?
再见，我下个月回来。,"Zàijiàn, wǒ xià gè yuè huílái.","Goodbye, I'll be back next month."
医生叫我多喝水。,Yīshēng jiào wǒ duō hē shuǐ.,The doctor told me to drink more water.
他昨天什么时候打电话来的？,Tā zuótiān shénme shíhòu dǎ diànhuà lái de?,When did he call yesterday?
我听说中国太热了。,Wǒ tīng shuō zhōngguó tài rèle.,I heard that China is too hot.
